algorithm,rec@1,prec@1,f1@1,rec_unigram@1,prec_unigram@1,f1_unigram@1,rec@5,prec@5,f1@5,rec_unigram@5,prec_unigram@5,f1_unigram@5,rec@10,prec@10,f1@10,rec_unigram@10,prec_unigram@10,f1_unigram@10,rec@15,prec@15,f1@15,rec_unigram@15,prec_unigram@15,f1_unigram@15,rec@20,prec@20,f1@20,rec_unigram@20,prec_unigram@20,f1_unigram@20,avg_num_tokens_in_summ, avg_num_kps_in_summ
TfIdf,0.0033,0.0667,0.0063,0.0238,0.4889,0.0452,0.0100,0.0400,0.0160,0.1088,0.4036,0.1704,0.0183,0.0367,0.0244,0.1841,0.3512,0.2404,0.0350,0.0467,0.0400,0.2520,0.3274,0.2835,0.0451,0.0450,0.0450,0.3144,0.3083,0.3100,2.2217,20.0000
KPMiner,0.0083,0.1667,0.0159,0.0280,0.8333,0.0539,0.0334,0.1333,0.0534,0.1144,0.6716,0.1945,0.0568,0.1133,0.0756,0.1927,0.5864,0.2885,0.0968,0.1289,0.1105,0.2710,0.5533,0.3618,0.1084,0.1083,0.1084,0.3214,0.4989,0.3893,1.3900,20.0000
YAKE,0.0150,0.3000,0.0286,0.0373,0.7056,0.0706,0.0367,0.1467,0.0587,0.1660,0.5828,0.2575,0.0618,0.1233,0.0823,0.2689,0.4617,0.3387,0.0851,0.1133,0.0972,0.3411,0.3884,0.3620,0.1084,0.1083,0.1084,0.4105,0.3509,0.3772,2.5783,20.0000
TextRank,0.0133,0.2667,0.0254,0.0493,0.7700,0.0921,0.0618,0.2467,0.0988,0.1860,0.6480,0.2879,0.1034,0.2067,0.1379,0.3310,0.5512,0.4119,0.1468,0.1956,0.1677,0.4165,0.4548,0.4330,0.1718,0.1717,0.1717,0.4669,0.3780,0.4166,2.6983,20.0000
SingleRank,0.0167,0.3333,0.0317,0.0509,0.8033,0.0952,0.0567,0.2267,0.0907,0.1838,0.6496,0.2856,0.1134,0.2267,0.1512,0.3121,0.5378,0.3933,0.1535,0.2044,0.1754,0.4075,0.4625,0.4314,0.1885,0.1883,0.1884,0.4616,0.3911,0.4218,2.5817,20.0000
TopicRank,0.0200,0.4000,0.0381,0.0364,0.7000,0.0688,0.0734,0.2933,0.1174,0.1582,0.6713,0.2536,0.1201,0.2400,0.1601,0.2919,0.6003,0.3901,0.1601,0.2133,0.1829,0.3768,0.5165,0.4337,0.1868,0.1867,0.1868,0.4422,0.4583,0.4484,2.0933,20.0000
TopicalPageRank,0.0150,0.3000,0.0286,0.0496,0.7700,0.0927,0.0651,0.2600,0.1041,0.1850,0.6574,0.2877,0.1118,0.2233,0.1490,0.3083,0.5344,0.3888,0.1618,0.2156,0.1849,0.4025,0.4682,0.4311,0.2018,0.2017,0.2018,0.4700,0.4075,0.4348,2.5250,20.0000
PositionRank,0.0150,0.3000,0.0286,0.0437,0.8000,0.0827,0.0567,0.2267,0.0907,0.1735,0.6466,0.2728,0.1168,0.2333,0.1556,0.3011,0.5655,0.3915,0.1518,0.2022,0.1734,0.4017,0.5049,0.4461,0.1952,0.1950,0.1951,0.4614,0.4316,0.4447,2.3200,20.0000
MultipartiteRank,0.0167,0.3333,0.0317,0.0395,0.7500,0.0745,0.0684,0.2733,0.1094,0.1579,0.6537,0.2514,0.1268,0.2533,0.1690,0.2941,0.6048,0.3928,0.1734,0.2311,0.1982,0.3808,0.5249,0.4391,0.2102,0.2100,0.2101,0.4557,0.4701,0.4608,2.1083,20.0000
CollabRank,0.0150,0.3000,0.0286,0.0501,0.8033,0.0937,0.0601,0.2400,0.0961,0.1799,0.6450,0.2803,0.1118,0.2233,0.1490,0.2972,0.5207,0.3768,0.1451,0.1933,0.1658,0.3895,0.4532,0.4173,0.1784,0.1783,0.1784,0.4478,0.3848,0.4126,2.5350,20.0000
